filename,log_sr_r,log_sr_g,log_sr_b
17-5.tiff,0.6331,0.5871,0.5044
17-6.tiff,0.6338,0.5870,0.5037
17-7.tiff,0.6351,0.5871,0.5019
17-8.tiff,0.6351,0.5872,0.5019
17-9.tiff,0.6337,0.5875,0.5032
18-1.tiff,0.6277,0.5870,0.5112
18-10.tiff,0.6308,0.5871,0.5074
18-11.tiff,0.6300,0.5871,0.5084
18-12.tiff,0.6304,0.5869,0.5081
18-13.tiff,0.6302,0.5869,0.5084
18-14.tiff,0.6301,0.5869,0.5084
18-15.tiff,0.6292,0.5871,0.5093
18-16.tiff,0.6297,0.5870,0.5087
18-17.tiff,0.6299,0.5870,0.5086
18-18.tiff,0.6302,0.5869,0.5082
18-2.tiff,0.6277,0.5874,0.5108
18-3.tiff,0.6305,0.5862,0.5088
18-4.tiff,0.6311,0.5862,0.5080
18-5.tiff,0.6295,0.5864,0.5097
18-6.tiff,0.6294,0.5864,0.5100
18-7.tiff,0.6301,0.5860,0.5095
18-8.tiff,0.6251,0.5880,0.5133
18-9.tiff,0.6253,0.5880,0.5131
19-1.tiff,0.6367,0.5867,0.5004
19-10.tiff,0.6359,0.5864,0.5019
19-2.tiff,0.6389,0.5856,0.4989
19-3.tiff,0.6390,0.5856,0.4988
19-4.tiff,0.6362,0.5862,0.5017
19-5.tiff,0.6365,0.5862,0.5012
19-6.tiff,0.6351,0.5868,0.5024
19-7.tiff,0.6337,0.5870,0.5038
19-8.tiff,0.6345,0.5863,0.5036
19-9.tiff,0.6357,0.5862,0.5022
2-1.tiff,0.6381,0.5864,0.4989
2-10.tiff,0.6377,0.5868,0.4991
2-11.tiff,0.6359,0.5874,0.5006
2-2.tiff,0.6383,0.5864,0.4988
2-3.tiff,0.6389,0.5863,0.4980
2-4.tiff,0.6406,0.5862,0.4960
2-5.tiff,0.6382,0.5863,0.4989
2-6.tiff,0.6347,0.5871,0.5025
2-7.tiff,0.6353,0.5873,0.5015
2-8.tiff,0.6324,0.5882,0.5042
2-9.tiff,0.6355,0.5872,0.5013
20-1.tiff,0.6563,0.5835,0.4783
20-2.tiff,0.6559,0.5837,0.4787
20-3.tiff,0.6542,0.5832,0.4815
20-4.tiff,0.6526,0.5844,0.4823
20-5.tiff,0.6528,0.5842,0.4823
20-6.tiff,0.6547,0.5834,0.4806
21-1.tiff,0.6448,0.5839,0.4932
21-10.tiff,0.6456,0.5833,0.4929
21-11.tiff,0.6455,0.5835,0.4928
21-12.tiff,0.6452,0.5837,0.4930
21-2.tiff,0.6443,0.5840,0.4938
21-3.tiff,0.6424,0.5850,0.4950
21-4.tiff,0.6432,0.5847,0.4944
21-5.tiff,0.6413,0.5827,0.4992
21-6.tiff,0.6429,0.5849,0.4945
21-7.tiff,0.6453,0.5841,0.4924
21-8.tiff,0.6452,0.5840,0.4925
21-9.tiff,0.6448,0.5840,0.4932
22-1.tiff,0.6479,0.5845,0.4885
22-10.tiff,0.6478,0.5844,0.4887
22-11.tiff,0.6464,0.5822,0.4932
22-2.tiff,0.6441,0.5854,0.4924
22-3.tiff,0.6455,0.5849,0.4911
22-4.tiff,0.6464,0.5842,0.4907
22-5.tiff,0.6478,0.5842,0.4890
22-6.tiff,0.6500,0.5842,0.4859
22-7.tiff,0.6491,0.5844,0.4871
22-8.tiff,0.6472,0.5836,0.4905
22-9.tiff,0.6509,0.5841,0.4849
